"事業者名","カテゴリ","エリア","住所","電話番号","ウェブサイト","Instagram","Googleレビュー数","Google評価","個人/法人","DM優先度(1-5)","GoogleマップURL","DMメモ"
"パーソナルジム UNFIX 渋谷","パーソナルトレーナー","東京都渋谷区","日本、〒150-0032 東京都渋谷区鶯谷町３−１ ＳＵビル 403","080-2553-1425","https://trainer-daiki.com/","https://instagram.com/trainer_daiki","42","4.9","法人","4","https://maps.google.com/?cid=15807898310244319956","Web/IG有。レビュー42件"
"SUIT STYLIST SALON 代官山","パーソナルスタイリスト","東京都渋谷区","日本、〒150-0034 東京都渋谷区代官山町１０−１ 代官山 通り 〒150-0034 りー ぶる 代官山 1F","03-6455-0853","http://suit-stylist.com/","https://instagram.com/suit_stylist_salon","38","4.9","個人","4","https://maps.google.com/?cid=3320132174503298648","スタイリング38件Web/IG有"
"セミパーソナル・パーソナルジム Recover Gym (リカバージム) 神泉駅・渋谷店 |体づくり筋トレ/パーソナルトレーニング","パーソナルトレーナー","東京都渋谷区","日本、〒150-0036 東京都渋谷区南平台町２−６ 南平台ヒルス 2階 パーソナルトレーニング・筋トレ体づくりトレーニング","03-6712-7274","https://recover-gym.com/","https://instagram.com/recovergym.shibuya","36","5","法人","4","https://maps.google.com/?cid=9738969952549913422","レビュー36件。Web/IG有"
"コンティネント渋谷店","メンズ脱毛サロン","東京都渋谷区","日本、〒150-0011 東京都渋谷区東２丁目１５−１ trias215 201","047-404-9776","https://continent-mens.jp/","","34","5","法人","4","https://maps.google.com/?cid=17805513142135642866","メンズ脱毛34件"
"RainbowGYM 渋谷店","パーソナルトレーナー","東京都渋谷区","日本、〒150-0044 東京都渋谷区円山町１２−１１ 1F 渋谷 パーソナルトレーニング 渋谷 パーソナルジム パーソナルトレーニング 渋谷 パーソナルジム 渋谷","03-4400-2672","http://rainbowgym.jp/personal","https://instagram.com/rainbowgym_official","33","5","法人","4","https://maps.google.com/?cid=15182655590632845431","レビュー33件。Web/IG有"
"カラープロジェクトM","パーソナルカラー診断","東京都渋谷区","日本、〒150-0002 東京都渋谷区渋谷１丁目５−１２ 第２西青山ビル ３階 青山サロン","","http://color-p-m.jp/","","32","4.9","個人","4","https://maps.google.com/?cid=6605625397301385947","レビュー32件の小規模サロン"
"フィーゴ 渋谷店","メンズ脱毛サロン","東京都渋谷区","日本、〒150-0011 東京都渋谷区東１丁目２４−８ 1F-B","03-6873-4881","https://figomens.com/shopinfo/shibuya/","","29","5","個人","4","https://maps.google.com/?cid=14132937746055338411","メンズ脱毛29件"
"MM style color","パーソナルカラー診断","東京都渋谷区","日本、〒150-0001 東京都渋谷区神宮前１丁目２０−４ Axia原宿 202","090-5493-1910","https://www.mmstylecolor.com/?utm_source=GBP&utm_medium=GBP&utm_term=GBP&utm_content=GBP&utm_campaign=GBP","https://instagram.com/mmstylecolor","20","5","個人","4","https://maps.google.com/?cid=13017561110437042735","レビュー20件で個人運営可能性"
"肌質改善専門フェイシャルスタイリストサロン渋谷店","パーソナルスタイリスト","東京都渋谷区","日本、〒150-0031 東京都渋谷区桜丘町２９−１６ セルフィスタ渋谷","03-3464-2456","https://facial-stylist.jp/","","20","4.9","個人","4","https://maps.google.com/?cid=9251565596140647835","肌質改善20件"
"眉毛HOUSE 渋谷店【メンズ眉毛サロン・アイブロウサロン】","眉毛サロン メンズ","東京都渋谷区","日本、〒150-0031 東京都渋谷区桜丘町１６−１５ カーサ渋谷 402","03-5422-3833","https://eyebrow-house.com/","","15","4.9","個人","4","https://maps.google.com/?cid=12642803908569771548","レビュー15件の小規模サロン"
"clotteal 渋谷店","骨格診断","東京都渋谷区","日本、〒150-0044 東京都渋谷区円山町５−４ フィールＡ渋谷","","https://clotteal.co.jp/","","8","4.9","個人","4","https://maps.google.com/?cid=1166145617021438838","レビュー8件の小規模店舗"
"LilyMule","パーソナルカラー診断","東京都渋谷区","日本、〒150-0001 東京都渋谷区神宮前２丁目１８−４ ドエル神宮前 １０１","","https://lilymulesalon.jp/","https://instagram.com/lilymule_salon","8","5","個人","4","https://maps.google.com/?cid=7373455979349415055","レビュー8件で個人運営の可能性"
"スタパト買い物同行サービス","パーソナルスタイリスト","東京都渋谷区","日本、〒160-0022 東京都新宿区新宿３丁目４−８ 京王フレンテ新宿3丁目4階405","090-9051-6317","https://sutapato.jp/","","6","5","個人","4","https://maps.google.com/?cid=17230063760414352049","買い物同行6件"
"トライカラーズ 渋谷サロン","パーソナルカラー診断","東京都渋谷区","日本、〒150-0002 東京都渋谷区渋谷２丁目１９−１９ 5階","070-1075-3479","https://trycolors.jp/","","3","4.7","個人","4","https://maps.google.com/?cid=8605004784173230646","レビュー3件で個人フリーランス確度高"
"スターホワイトニング渋谷院 渋谷スター歯科","ホワイトニングサロン メンズ","東京都渋谷区","日本、〒150-0002 東京都渋谷区渋谷１丁目２４−１５ FPG Links Shibuya, 6F","0120-338-469","https://starwhitening.net/shibuya/","","3259","4.8","","3","https://maps.google.com/?cid=887560267277592458",""
"Mode!? 渋谷店 メンズ眉毛サロン","眉毛サロン メンズ","東京都渋谷区","日本、〒150-0001 東京都渋谷区神宮前６丁目２３−６ ７F","03-6434-1407","https://mode-eyebrow.com/","https://instagram.com/mode.sora","1300","4.9","","3","https://maps.google.com/?cid=1751825439457399517",""
"Beauty N Tonality│パーソナルカラー診断・骨格診断・顔タイプ診断","骨格診断","東京都渋谷区","日本、〒151-0051 東京都渋谷区千駄ケ谷１丁目１１−１２ 第２メゾンブーケ 302","050-3528-8220","https://beautyntonality.com/","https://instagram.com/personalstylist_kaho","1287","4.9","","3","https://maps.google.com/?cid=4297569241771751883",""
"mari-colore（マリコローレ）東京新宿サロン","パーソナルカラー診断","東京都渋谷区","日本、〒160-0022 東京都新宿区新宿４丁目３−３１ トーサイビル ３０２・４０２","03-4520-1101","https://mari-colore.co.jp/salon-tokyo-shinjuku/","https://instagram.com/mari_colore.fashion","828","5","","3","https://maps.google.com/?cid=4896535572873158480",""
"メンズ眉毛サロン FIRST ファースト 渋谷店","眉毛サロン メンズ","東京都渋谷区","日本、〒150-0043 東京都渋谷区道玄坂１丁目２２−１２ 9階","03-6455-1107","https://first-formen.jp/salons/shibuya/","https://instagram.com/mens_eyebrow_first","641","4.9","","3","https://maps.google.com/?cid=13638018389323563315",""
"プラチナムビューティー渋谷本店","ホワイトニングサロン メンズ","東京都渋谷区","日本、〒150-0044 東京都渋谷区円山町５−４","070-1375-0930","https://beauty.hotpepper.jp/kr/slnH000574373/","","547","4.9","","3","https://maps.google.com/?cid=17438323853205816643",""
"LOVEホワイトニング渋谷店","ホワイトニングサロン メンズ","東京都渋谷区","日本、〒150-0011 東京都渋谷区東１丁目２６−３２ 拓新ビル 4F","080-5678-4280","https://lovewhite.net/","","534","4.8","","3","https://maps.google.com/?cid=3873911386212603196",""
"RINX（リンクス）東京渋谷店","メンズ脱毛サロン","東京都渋谷区","日本、〒150-0002 東京都渋谷区渋谷１丁目４−１２ 3F","03-6452-6680","https://mens-rinx.jp/salon/shibuya?utm_source=google&utm_medium=map&utm_campaign=web_RINX006","https://instagram.com/rinx_official","524","4.9","","3","https://maps.google.com/?cid=15054403171371267329",""
"メンズ脱毛サロン メンズクリア渋谷明治通り店","メンズ脱毛サロン","東京都渋谷区","日本、〒150-0002 東京都渋谷区渋谷１丁目１７−１４ Acn渋谷ビル 5F","0120-993-676","https://salons.mensclear.com/detail/tokyo-shibuya-m?utm_source=gmb&utm_medium=organic&utm_campaign=mybiz35","https://instagram.com/mensclear_official","513","4.7","","3","https://maps.google.com/?cid=630101697099720612",""
"kegirai 渋谷店","眉毛サロン メンズ","東京都渋谷区","日本、〒150-0041 東京都渋谷区神南１丁目１１−５ ダイネス壱番館 602","080-9060-2886","https://kegirai.com/stores/tokyo/shibuya/","https://instagram.com/kegirai_eyebrow_tokyo","439","4.9","","3","https://maps.google.com/?cid=12074309239328357727",""
"ホワイトニング東京","ホワイトニングサロン メンズ","東京都渋谷区","日本、〒150-0021 東京都渋谷区恵比寿西１丁目２１−３ グレイス代官山 2F","0120-997-469","https://www.whitening-tokyo.com/","https://instagram.com/whitening_tokyo","436","4.9","","3","https://maps.google.com/?cid=12443133879849606340",""
"ホワイトニングバー 渋谷道玄坂店","ホワイトニングサロン メンズ","東京都渋谷区","日本、〒150-0043 東京都渋谷区道玄坂１丁目１０−８ 渋谷道玄坂東急ビル 2F","070-6995-0123","https://whiteningbar.jp/shibuyadogenzaka/","https://instagram.com/whiteningbar_beforeafter","421","4.8","","3","https://maps.google.com/?cid=3906605765885104405",""
"マユクリア渋谷店【メンズ眉毛サロン】","眉毛サロン メンズ","東京都渋谷区","日本、〒150-0042 東京都渋谷区宇田川町３５丁目３５−４ 渋谷 オーク・ヴィレッジ 3F","03-6416-9195","https://beauty.hotpepper.jp/kr/slnH000692998/","","416","4.9","","3","https://maps.google.com/?cid=660866125593565403",""
"メンズトータルエステ ZELMO渋谷","メンズ脱毛サロン","東京都渋谷区","日本、〒150-0002 東京都渋谷区渋谷２丁目１９−２０ 宮益坂村瀬ビル ４F","03-6419-7677","https://zelmo.jp/","https://instagram.com/zelmo2871","409","4.9","","3","https://maps.google.com/?cid=10394280515075281430",""
"LBSホワイトニング渋谷店","ホワイトニングサロン メンズ","東京都渋谷区","日本、〒150-0002 東京都渋谷区渋谷３丁目６−４ プライア渋谷 303","070-5022-2962","https://beauty.hotpepper.jp/kr/slnH000560333/","","375","5","","3","https://maps.google.com/?cid=5800647400605869590",""
"メンズ眉毛サロンADDICT 渋谷店","眉毛サロン メンズ","東京都渋谷区","日本、〒150-0002 東京都渋谷区渋谷１丁目２２−１１ Ｋビル 5F","070-9367-8744","https://addict-gr.com/","https://instagram.com/addict.eyebrow","343","4.9","","3","https://maps.google.com/?cid=2376151131512709885",""
"スタパト新宿三丁目本店","パーソナルスタイリスト","東京都渋谷区","日本、〒160-0022 東京都新宿区新宿３丁目４−８ 京王フレンテ 4階","070-9361-8384","https://beauty.hotpepper.jp/kr/slnH000616976/","","343","4.9","","3","https://maps.google.com/?cid=10933570868076491432",""
"エトワール渋谷","ホワイトニングサロン メンズ","東京都渋谷区","日本、〒150-0042 東京都渋谷区宇田川町１９−５ 山手マンション 904","080-9718-4646","https://lips-whitening.com/?p=415","","327","4.9","","3","https://maps.google.com/?cid=14969270376096394575",""
"ディープホワイトニングTOKYO SWRS 渋谷店","ホワイトニングサロン メンズ","東京都渋谷区","日本、〒150-0043 東京都渋谷区道玄坂１丁目１５−１０ 道玄坂１ハイツ 3階","03-6452-5847","https://beauty.hotpepper.jp/kr/slnH000499020/","","296","5","","3","https://maps.google.com/?cid=14746041615219096770",""
"BEYOND 渋谷宮益坂店","パーソナルトレーナー","東京都渋谷区","日本、〒150-0002 東京都渋谷区渋谷２丁目１０−９ B1F","03-3797-1150","https://beyond-gym.com/gym/gym-miyamasuzaka/","https://instagram.com/beyond_shibuyamiyamasuzaka","289","5","","3","https://maps.google.com/?cid=8568892783634316118",""
"エクシア ホワイトニング渋谷駅西口店","ホワイトニングサロン メンズ","東京都渋谷区","日本、〒150-0043 東京都渋谷区道玄坂１丁目９−１ 梅山ビル ６Ｆ","070-1210-4794","https://ecxia-inc.com/shop/%E3%82%A8%E3%82%AF%E3%82%B7%E3%82%A2%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88%E6%B8%8B%E8%B0%B7%E9%A7%85%E8%A5%BF%E5%8F%A3%E5%BA%97/","https://instagram.com/ecxia_white_harajuku","274","4.9","","3","https://maps.google.com/?cid=4179896978827096412",""
"ホワイトニングサロン ライトビューティー恵比寿店","ホワイトニングサロン メンズ","東京都渋谷区","日本、〒150-0013 東京都渋谷区恵比寿２丁目４−１ パークサイドヒルズ 501","080-9354-4618","https://beauty.hotpepper.jp/kr/slnH000496838/","","267","4.9","","3","https://maps.google.com/?cid=14444689790694719021",""
"ASPI渋谷店 パーソナルトレーニングジム","パーソナルトレーナー","東京都渋谷区","日本、〒150-0041 東京都渋谷区神南１丁目２０−１０ 神南興業ビル 6階","03-6260-6366","https://aspirest.com/access/tokyo/shibuya/","https://instagram.com/aspi_gym","255","4.9","","3","https://maps.google.com/?cid=5104636129724916456",""
"Colorcle表参道店","パーソナルカラー診断","東京都渋谷区","日本、〒150-0001 東京都渋谷区神宮前３丁目６−５ ヴィラッジオ神宮前","050-6861-4709","https://colorcle.net/","","251","5","","3","https://maps.google.com/?cid=14647629846812687135",""
"ダビデクリニック渋谷","メンズ脱毛サロン","東京都渋谷区","日本、〒150-0043 東京都渋谷区道玄坂２丁目６−１ 岩崎ビル ４Ｆ","0120-545-950","https://www.davide.clinic/","https://instagram.com/davide_shibuya","240","4.8","","3","https://maps.google.com/?cid=5649554526729385328",""
"HaHaHa WHITENING GYM&DENTAL SUPPORT 恵比寿","ホワイトニングサロン メンズ","東京都渋谷区","日本、〒150-0013 東京都渋谷区恵比寿１丁目１１−４","03-6721-6061","https://www.hahaha-whitening.com/","https://instagram.com/hahaha_whitening_gym_ebisu","240","5","","3","https://maps.google.com/?cid=15052431062205144452",""
"メンズ眉毛サロン表参道店【THE BROW】(渋谷）","眉毛サロン メンズ","東京都渋谷区","日本、〒107-0062 東京都港区南青山３丁目１２−１１ ボワゼ青山 10F","03-6679-3749","https://thebrow.jp/omotesando/","https://instagram.com/thebrow_tokyo","239","4.9","","3","https://maps.google.com/?cid=8706257865237496093",""
"メンズ眉毛サロンME.REBO渋谷神南【ミレボ渋谷神南】","眉毛サロン メンズ","東京都渋谷区","日本、〒150-0041 東京都渋谷区神南１丁目１４−１ コーポナポリ 4F (401","03-6416-3040","https://beauty.hotpepper.jp/kr/slnH000691673/","","229","4.9","","3","https://maps.google.com/?cid=10787409958664405252",""
"メンズリゼ渋谷","メンズ脱毛サロン","東京都渋谷区","日本、〒150-0042 東京都渋谷区宇田川町１３−８ ちとせ会館 １Ｆ メンズリゼ 受付","03-5459-3311","https://www.mens-rize.com/about/shibuya.html?utm_source=google&utm_medium=maps_shibuya","https://instagram.com/mensrizeclinic","227","4.4","","3","https://maps.google.com/?cid=7831810614083443118",""
"プラスエイト渋谷店 メンズ眉毛サロン","眉毛サロン メンズ","東京都渋谷区","日本、〒150-0041 東京都渋谷区神南１丁目１１−４ Fpg Links Shibuya Dogenzaka, JINNAN4階","03-6416-5755","https://www.plus8.bz/salon/shibuya?utm_source=google&utm_medium=maps&utm_campaign=meo","https://instagram.com/eyebrowsalon_plus8","220","4.9","","3","https://maps.google.com/?cid=15762224725742503035",""
"YUNG メンズ脱毛サロン","メンズ脱毛サロン","東京都渋谷区","日本、〒150-0042 東京都渋谷区宇田川町４２−８ D1 UDAGAWA 403","080-7314-5289","https://www.yung-men.com/","","213","4.9","","3","https://maps.google.com/?cid=555810296030335344",""
"ホワイトニング専門店｜refinedホワイトニング恵比寿・代官山店","ホワイトニングサロン メンズ","東京都渋谷区","日本、〒150-0021 東京都渋谷区恵比寿西２丁目３−９ 401","","https://refined-whitening.studio.site/","","213","4.8","","3","https://maps.google.com/?cid=819984492457059692",""
"メンズ眉毛サロンhey 恵比寿店","眉毛サロン メンズ","東京都渋谷区","日本、〒150-0013 東京都渋谷区恵比寿１丁目７−１２ 3階 眉毛サロン","03-6721-6952","https://beauty.hotpepper.jp/kr/slnH000659965/","","212","4.9","","3","https://maps.google.com/?cid=1801040338652720956",""
"ライトビューティー渋谷本店","ホワイトニングサロン メンズ","東京都渋谷区","日本、〒150-0044 東京都渋谷区円山町５−４","070-3199-3989","http://instagram.com/light_beauty_shibuya","https://instagram.com/rsrc.php","200","5","","3","https://maps.google.com/?cid=11604955451927302471",""
"LINOPLUS","眉毛サロン メンズ","東京都渋谷区","日本、〒150-0041 東京都渋谷区神南１丁目１４−１ コーポナポリ 303号室","03-6625-0694","https://beauty.hotpepper.jp/kr/slnH000655155/?cstt=1","","199","5","","3","https://maps.google.com/?cid=14667561267793892871",""
"メンズ眉毛サロンSamurai Beauty 渋谷東店","眉毛サロン メンズ","東京都渋谷区","日本、〒150-0002 東京都渋谷区渋谷３丁目１−９ 矢沢ビル 2F","03-4400-2798","https://samurai-beauty.jp/lp/shibuyahigashi/eyebrow/listing-4400/","","165","4.9","","3","https://maps.google.com/?cid=13724232787272518554",""
"RBL 渋谷店","メンズ脱毛サロン","東京都渋谷区","日本、〒150-0043 東京都渋谷区道玄坂２丁目２３−１４ 道玄坂225ビル 6F","03-6712-7841","https://roland-bl.jp/","https://instagram.com/rbl_0fficial","160","4.7","","3","https://maps.google.com/?cid=8528730815726433005",""
"渋谷 Leven","パーソナルトレーナー","東京都渋谷区","日本、〒150-0043 東京都渋谷区道玄坂１丁目１５−３ 804","080-5452-4966","https://fitnessgym-leven.jp/","https://instagram.com/leven_fitness","152","5","","3","https://maps.google.com/?cid=2008376193456981185",""
"【Lily Beaute/リリーボーテ】渋谷・恵比寿店","パーソナルカラー診断","東京都渋谷区","日本、〒150-0021 東京都渋谷区恵比寿西１丁目１５−２ アパルトマンイトウ 7F 706号室 7th floor 706","070-1215-1031","https://www.instagram.com/yurina_color/","https://instagram.com/rsrc.php","152","5","","3","https://maps.google.com/?cid=4764206234972490003",""
"YINVOKE","パーソナルカラー診断","東京都渋谷区","Cabo, 201 １丁目-３２-3 上原 渋谷区 東京都 151-0064 日本","080-4306-4890","https://yinvoke.com/","https://instagram.com/yinvoke_official","147","5","","3","https://maps.google.com/?cid=11649302595826239570",""
"eviGym 渋谷店","パーソナルトレーナー","東京都渋谷区","日本、〒150-0002 東京都渋谷区渋谷３丁目１８−４ 渋谷3丁目ビル 6階","03-6419-7706","https://evigym.com/stores/shibuya-east?utm_source=gmb&utm_medium=referral","https://instagram.com/evigym_official","144","5","","3","https://maps.google.com/?cid=11673578244070023592",""
"Dr.トレーニング 恵比寿本店","パーソナルトレーナー","東京都渋谷区","日本、〒150-0021 東京都渋谷区恵比寿西１丁目３０−１ シーズ代官山 1F","03-6416-9256","https://drtraining.jp/location/ebisu/?utm_source=google&utm_medium=meo&utm_campaign=meo&utm_id=2","https://instagram.com/dr.training_official","139","4.9","","3","https://maps.google.com/?cid=13225544117820476842",""
"SPACE GYM 渋谷店","パーソナルトレーナー","東京都渋谷区","日本、〒150-0002 東京都渋谷区渋谷３丁目１−１０ アイリーファーストプラザ 4F","03-6805-1995","https://www.space-gym.com/shop/shibuya/?utm_source=Google&utm_medium=web&utm_campaign=march&utm_id=gbp","https://instagram.com/space_gym_official","137","5","","3","https://maps.google.com/?cid=18302743362826959014",""
"ホワイトニングショップ 恵比寿店","ホワイトニングサロン メンズ","東京都渋谷区","日本、〒150-0013 東京都渋谷区恵比寿４丁目１０−１３ 明和ニューマンション 101","080-5071-0513","https://beauty.hotpepper.jp/kr/slnH000713153","","134","4.8","","3","https://maps.google.com/?cid=15735883848780221532",""
"GELiY total beauty","メンズ脱毛サロン","東京都渋谷区","日本、〒150-0002 東京都渋谷区渋谷１丁目１２−１２ 宮益坂東豊エステート 404","03-6824-5060","","","131","4.9","","3","https://maps.google.com/?cid=11049794418787401789",""
"LUMINA SHIBUYA","メンズ脱毛サロン","東京都渋谷区","日本、〒150-0002 東京都渋谷区渋谷１丁目１−７ セントラル渋谷２４６ 601","03-4500-7425","https://beauty.hotpepper.jp/kr/slnH000748557/","","128","4.8","","3","https://maps.google.com/?cid=7154013685727355146",""
"渋谷パーソナルジム ARISANFIT","パーソナルジム","東京都渋谷区","日本、〒150-0043 東京都渋谷区道玄坂１丁目１５−３ プリメーラ道玄坂 612号室","","https://www.arisanfit.com/","https://instagram.com/arisan_fit","123","5","","3","https://maps.google.com/?cid=8836282633702354506",""
"メンズジェニー渋谷","メンズ脱毛サロン","東京都渋谷区","日本、〒150-0002 東京都渋谷区渋谷１丁目２４−６ マトリクス・ツービル 2F","0120-607-637","https://jennyc.jp/men/","https://instagram.com/mensjennyc","119","4.7","","3","https://maps.google.com/?cid=9945264001160681542",""
"メンズエミナル 渋谷駅前院","メンズ脱毛サロン","東京都渋谷区","日本、〒150-0043 東京都渋谷区道玄坂１丁目３−１ 渋谷駅前会館(飯島ビル) 8F","03-6712-7397","https://mens-eminal.jp/clinic/tokyoto/shibuyaekimae/","https://instagram.com/eminalclinic_mens","117","4","","3","https://maps.google.com/?cid=6373643930212546226",""
"Duo white","ホワイトニングサロン メンズ","東京都渋谷区","日本、〒150-0031 東京都渋谷区桜丘町２３−２１ 文化総合センター大和田 ロビー階","03-6822-3488","https://duowhite.jp/","","117","4.9","","3","https://maps.google.com/?cid=3537353274347199987",""
"KOMATORE 渋谷店","パーソナルトレーナー","東京都渋谷区","桑野ビル 2F, ６丁目-２３-4 神宮前 渋谷区 東京都 150-0001 日本","","https://komatore.jp.net/?utm_source=GBP&utm_medium=GBP&utm_term=GBP&utm_content=GBP&utm_campaign=GBP","https://instagram.com/komatore_","108","5","","3","https://maps.google.com/?cid=16849463335780800227",""
"メンズルシア 渋谷院","メンズ脱毛サロン","東京都渋谷区","日本、〒150-0043 東京都渋谷区道玄坂２丁目３−１ 渋谷駅前ビル 5F","03-5458-7070","https://mens-lucia.com/clinic/shibuya/?utm_source=gmb&utm_medium=organic&utm_campaign=m-shibuya&argument=iKSDyTmU&dmai=a668e019324ae4","https://instagram.com/mensluciaclinic.pr","106","4.3","","3","https://maps.google.com/?cid=18120677015674613299",""
"クリスタルラウンジホワイトニング渋谷店","ホワイトニングサロン メンズ","東京都渋谷区","日本、〒150-0044 東京都渋谷区円山町５−４ フィールA","","https://beauty.hotpepper.jp/kr/slnH000615465/","","106","4.9","","3","https://maps.google.com/?cid=12268150798593390472",""
"Rife gym渋谷店","パーソナルトレーナー","東京都渋谷区","日本、〒150-0002 東京都渋谷区渋谷１丁目２２−１ グラフィオ渋谷 102","050-7112-5317","https://ryoreha12.com/","https://instagram.com/rife_gym_personal","103","5","","3","https://maps.google.com/?cid=16280381700531385271",""
"中目黒メンズ眉毛サロンAIAM 中目黒","眉毛サロン メンズ","東京都渋谷区","日本、〒153-0051 東京都目黒区上目黒２丁目４３−２ ディアコート中目黒 202号室","03-6823-8667","https://beauty.hotpepper.jp/kr/slnH000616178/?cstt=1&wak=KPSC200404_s_link_salontop","","98","4.9","","3","https://maps.google.com/?cid=345484819884590624",""
"GOG 渋谷本店","パーソナルトレーナー","東京都渋谷区","日本、〒150-0001 東京都渋谷区神宮前６丁目１９−１５ 高野第一ビル 4階","","https://gog-gym.com/","","96","5","","3","https://maps.google.com/?cid=13166938604332134699",""
"メンズ眉毛サロン GroomPlus 恵比寿駅前店 【メンズ眉毛専門の美容サロン】","眉毛サロン メンズ","東京都渋谷区","日本、〒150-0021 東京都渋谷区恵比寿西１丁目２−１ エビスマンション 705","070-7611-5783","https://beauty.hotpepper.jp/kr/slnH000752468/","","94","5","","3","https://maps.google.com/?cid=12165911348670333643",""
"ロイヤルラウンジ渋谷店","ホワイトニングサロン メンズ","東京都渋谷区","日本、〒150-0044 東京都渋谷区円山町５−４","080-4428-3070","https://beauty.hotpepper.jp/kr/slnH000615155/","","94","4.9","","3","https://maps.google.com/?cid=17997085461915948602",""
"ULU恵比寿渋谷店","骨格診断","東京都渋谷区","日本、〒150-0011 東京都渋谷区東３丁目２４−８ 701","03-6452-5677","https://ulu-tokyo.com/","https://instagram.com/ulu_personal_color","93","4.9","","3","https://maps.google.com/?cid=8496860932210830047",""
"定額制脱毛サロンHammond","メンズ脱毛サロン","東京都渋谷区","日本、〒150-0044 東京都渋谷区円山町２２−１２ 宇野ビル 4F","","","","93","5","","3","https://maps.google.com/?cid=1877799528899385267",""
